orderID,employeeID,orderDate,freight,customerCompany,contactTitle,customerCity,customerCountry,employeeName,title,reportsTo,supplierCompany,productName,quantityPerUnit,orderUnitPrice,discontinued,categoryName,quantity,discount,days_to_ship
10248,5,04-07-2013,32.38,Vins et alcools Chevalier,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,2,Federal Shipping,Queso Cabrales,1 kg pkg.,14,0,Dairy Products,12,0,12
10248,5,04-07-2013,32.38,Vins et alcools Chevalier,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,2,Federal Shipping,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,9.8,1,Grains & Cereals,10,0,12
10248,5,04-07-2013,32.38,Vins et alcools Chevalier,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,2,Federal Shipping,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Dairy Products,5,0,12
10249,6,05-07-2013,11.61,Toms Spezialitäten,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,5,Speedy Express,Tofu,40 - 100 g pkgs.,18.6,0,Produce,9,0,5
10249,6,05-07-2013,11.61,Toms Spezialitäten,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,5,Speedy Express,Manjimup Dried Apples,50 - 300 g pkgs.,42.4,0,Produce,40,0,5
10250,4,08-07-2013,65.83,Hanari Carnes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,8,United Package,Jack's New England Clam Chowder,12 - 12 oz cans,7.7,0,Seafood,10,0,4
10250,4,08-07-2013,65.83,Hanari Carnes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,8,United Package,Manjimup Dried Apples,50 - 300 g pkgs.,42.4,0,Produce,35,0.15,4
10250,4,08-07-2013,65.83,Hanari Carnes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,8,United Package,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,16.8,0,Condiments,15,0.15,4
10251,3,08-07-2013,41.34,Victuailles en stock,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,8,Speedy Express,Gustaf's Knackebröd,24 - 500 g pkgs.,16.8,0,Grains & Cereals,6,0.05,7
10251,3,08-07-2013,41.34,Victuailles en stock,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,8,Speedy Express,Ravioli Angelo,24 - 250 g pkgs.,15.6,0,Grains & Cereals,15,0.05,7
10251,3,08-07-2013,41.34,Victuailles en stock,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,8,Speedy Express,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,16.8,0,Condiments,20,0,7
10252,4,09-07-2013,51.3,Suprêmes délices,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,8,United Package,Sir Rodney's Marmalade,30 gift boxes,64.8,0,Confections,40,0.05,2
10252,4,09-07-2013,51.3,Suprêmes délices,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,8,United Package,Geitost,500 g,2,0,Dairy Products,25,0.05,2
10252,4,09-07-2013,51.3,Suprêmes délices,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,8,United Package,Camembert Pierrot,15 - 300 g rounds,27.2,0,Dairy Products,40,0,2
10253,3,10-07-2013,58.17,Hanari Carnes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,8,United Package,Gorgonzola Telino,12 - 100 g pkgs,10,0,Dairy Products,20,0,6
10253,3,10-07-2013,58.17,Hanari Carnes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,8,United Package,Chartreuse verte,750 cc per bottle,14.4,0,Beverages,42,0,6
10253,3,10-07-2013,58.17,Hanari Carnes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,8,United Package,Maxilaku,24 - 50 g pkgs.,16,0,Confections,40,0,6
10254,5,11-07-2013,22.98,Chop-suey Chinese,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,2,United Package,Guarana Fantastica,12 - 355 ml cans,3.6,1,Beverages,15,0.15,12
10254,5,11-07-2013,22.98,Chop-suey Chinese,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,2,United Package,Pâté chinois,24 boxes x 2 pies,19.2,0,Meat & Poultry,21,0.15,12
10254,5,11-07-2013,22.98,Chop-suey Chinese,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,2,United Package,Longlife Tofu,5 kg pkg.,8,0,Produce,21,0,12
10255,9,12-07-2013,148.33,Richter Supermarkt,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,5,Federal Shipping,Chang,24 - 12 oz bottles,15.2,0,Beverages,20,0,3
10255,9,12-07-2013,148.33,Richter Supermarkt,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,5,Federal Shipping,Pavlova,32 - 500 g boxes,13.9,0,Confections,35,0,3
10255,9,12-07-2013,148.33,Richter Supermarkt,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,5,Federal Shipping,Inlagd Sill,24 - 250 g  jars,15.2,0,Seafood,25,0,3
10255,9,12-07-2013,148.33,Richter Supermarkt,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,5,Federal Shipping,Raclette Courdavault,5 kg pkg.,44,0,Dairy Products,30,0,3
10256,3,15-07-2013,13.97,Wellington Importadora,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,8,United Package,Perth Pasties,48 pieces,26.2,1,Meat & Poultry,15,0,2
10256,3,15-07-2013,13.97,Wellington Importadora,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,8,United Package,Original Frankfurter Grüne Soße,12 boxes,10.4,0,Condiments,12,0,2
10257,4,16-07-2013,81.91,HILARION-Abastos,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,8,Federal Shipping,Schoggi Schokolade,100 - 100 g pieces,35.1,0,Confections,25,0,6
10257,4,16-07-2013,81.91,HILARION-Abastos,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,8,Federal Shipping,Chartreuse verte,750 cc per bottle,14.4,0,Beverages,6,0,6
10257,4,16-07-2013,81.91,HILARION-Abastos,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,8,Federal Shipping,Original Frankfurter Grüne Soße,12 boxes,10.4,0,Condiments,15,0,6
10258,1,17-07-2013,140.51,Ernst Handel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,8,Speedy Express,Chang,24 - 12 oz bottles,15.2,0,Beverages,50,0.2,6
10258,1,17-07-2013,140.51,Ernst Handel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,8,Speedy Express,Chef Anton's Gumbo Mix,36 boxes,17,1,Condiments,65,0.2,6
10258,1,17-07-2013,140.51,Ernst Handel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,8,Speedy Express,Mascarpone Fabioli,24 - 200 g pkgs.,25.6,0,Dairy Products,6,0.2,6
